Nazwa,Opis,Linki,Nieruchomości,Wielkość
Marcin Bajko,"Pracownik od 1999, a szef Biura Gospodarki Nieruchomościami od 2005. Wydając decyzje uszczuplające majątek miasta o setki milionów złotych nie podpisywał się pod decyzjami i nie składał oświadczeń majątkowych. Pracując w urzędzie prowadził jednocześnie działalność gospodarczą w branży doradztwa w dziedzinie zarządzania ""jako odskocznię psychiczną"" od pracy w urzędzie, za przyzwoleniem Prezydent Hanny Gronkiewicz-Waltz. Jak twierdzi, od lat szuka sposobów, żeby ratować szkoły, boiska i parki dla miasta, ale niestety musi oddawać nieruchomości właścicielom roszczeń reprywatyzacyjnych. 

Mówi też „Co do zwrotów działek: nad tym pracowały osoby do tego upoważnione. Ja obowiązków przy tym nie miałem żadnych”.","http://wyborcza.pl/magazyn/1,124059,16745522,Jak_znikaja_szkolne_boiska.html
http://tvnwarszawa.tvn24.pl/informacje,news,marcin-bajko-nie-mam-sobie-nic-do-zarzucenia,210100.html",,small
Zbigniew B.,"Zbigniew B. wraz z rodziną - żoną Hanną i dziećmi zajmują się handlem nieruchomościami. Ojciec rodziny - Zbigniew B. - to wg tygodnika ""Polityka"" jeden z ""rekinów świata przestępczego"" związany z gangiem wołomińskim.","http://archiwum.polityka.pl/art/w-sluzbie-sluzb,446607.html",Drewniana 7,medium
Mirosław Bieniek,"Biznesmen zajmujący się nieruchomościami. Właściciel 1/4 udziałów w spółce Invista S. A. KRS 0000290233. Prezes Plater sp. z o.o. KRS 0000256342, która jest właścicielem spółki Mokotowska 63 sp. z o.o. KRS 0000358817. 

Mirosław Bieniek zreprywatyzował kamienice m. in. przy Emilii Plater 15, próbuje przejąć kamienice na Zgody 4 i Nowogrodzkiej 18.",http://bit.ly/2ck4IFX,"Mokotowska 40
Mokotowska 63
Ogródki działkowe Al. Waszyngtona
Emilii Plater 14
Emilii Plater 15
Karowa 14/16
Zgody 4
Nowogrodzka 18",small
Alina Dłużewska,Adwokat i syndyk upadłościowy. Znana jako obrończyni generała Ciastonia w procesie o zabójstwo Popiełuszki. Zajmowała się też handlem roszczeniami - wraz z mężem kupiła roszczenia do kamienicy przy ul. Kazimierzowskiej 34 oraz do willi Salamandra w Zakopanem/Kościelisku.,,Kazimierzowska 34,small
Maciej Domżała,"Tajemniczy i bogaty biznesmen oraz jego syn Aron, działający w branży nieruchomości. Miłośnicy sportów rajdowych. Maciej Domżała jest znany ze związku z Ewą Domżałą, celebrytką będącą przedmiotem zainteresowania serwisów plotkarskich. ","http://warszawa.wyborcza.pl/warszawa/1,34889,9723130,Zbuduja_hotel_zamiast_SLD__Co_bedzie_na_Rozbrat.html",,small
Tomasz Górniak,"Właściciel warszawskiej Galerii Akcji, jednen z największych w Polsce handlarzy przedwojennymi papierami wartościowymi. Dwa lata temu został zatrzymany przez ABW i usłyszał prokuratorskie zarzuty za udział w głośnej reaktywacji Giesche, największej spółki w przedwojennej Polsce. Właściciele Giesche domagali się od prezydenta Katowic zwrotu blisko połowy miasta. Zarzuty umorzono. Według posła Kozaka, autora raportu poselskiego na temat reaktywacji przedwojennych przedsiębiorstw, ""domniemanym ojcem chrzestnym procederu"" jest Antoni Feldon, prezes Stowarzyszenia Przemysłowców Polskich. 
Nazwiska Góniaka i Feldona pojawiają się w rejestrach wielu reaktywowanych przedwojennych spółek, do których należą liczne nieruchomości w Warszawie - m. in.:
- Siła i Światło KRS 0000381580 - jeden z największych koncernów międzywojennej Polski, Zakłady Amunicyjne ""Pocisk"" KRS 0000321388, Przemysł Mydlarski i Perfumeryjny Fryderyk Puls Spółka Akcyjna w likwidacji KRS 0000515027, Warszawska Fabryka Masowych Wyrobów Blaszanych ""Tłocznia"" Spółka Akcyjna KRS 000049544, Warszawskie Towarzystwo Motor Zakłady Chemiczno-Farmaceutyczne Spółka Akcyjna KRS 0000459003, S.A. Fabryk Metalowych Pod Firmą: Norblin, Bracia Buch I T.Werner w Warszawie, KRS 0000279228, Fabryka Mydeł i Perfum ""Warszawskie Laboratorium Chemiczne"" Spółka Akcyjna KRS 0000474668, Zjednoczone Browary Warszawskie Pod Firmą ""Haberbusch i Schiele"" Spółka Akcyjna KRS 0000143973",https://pk.gov.pl/aktualnosci-prokuratury-krajowej/wyroki-skazujace-za-dzialania-spolki-giesche-s-a-w-katowicach.html#.V8I1yPmLT4Y,,small
Hanna Gronkiewicz-Waltz,"Prezydent Warszawy. W latach 2011-2014 sprawował bezpośredni nadzór nad warszawską reprywatyzacją. Jej mąż Andrzej Waltz odziedziczył po swoim wuju Romanie Kępskim zreprywatyzowaną kamienicę przy ul. Noakowskiego 16, ukradzioną żydowskim właścicielom.",,Noakowskiego 16,large
Emanuel Grykin,"Biznesmen zajmujący się nieruchomościami, w tym zreprywatyzowanymi. Jest prezesem grupy ICON zajmującej się deweloperką, reprywatyzacją i ""rewitalizacją"" warszawskich kamienic.

Dyrektor w cypryjskiej spółce matce BREWIS Investments Ltd. Spółki z grupy ICON zarejestrowane są na Rozbrat 44a - budynku należącego do grupy Radius. Niektóre z nich - Poznańska 37 sp. z o.o. KRS 0000396998, ICON ENTECH KRS 0000497979, Krucza sp. z o.o. KRS 0000483198 - były wcześniej zarejestrowane w budynku spółki Hawe Group przy ul. Francesco Nullo 2, należącej do Marka Falenty. ",https://i-cyprus.com/company/339903.,"Poznańska 37
Okólnik 11a",small
Katarzyna Janowska,"Prawniczka i współpracownica od 2005 roku Piotra Wociala. Właścicielak KAPI Invest, która posiada część nieruchomości przy Odolańskiej 7. Współniczka Anny Marii Buczyńskiej w firmie Starościńska Invest. W postępowaniach sądowych i prokuratorskich reprezentuje firmę Fenix. Prezes zarządu stowarzyszenia Warszawa Odnowa (KRS 0000402284). Stowarzyszenie lobbowało za tym, żeby miasto zapewniało lokatorom w przejmowanych kamienicach mieszkania zastępcze. ","http://web.archive.org/web/20160313082216/http://warszawaodnowa.pl/renowacja-kamienic-aktualnosci.html http://tvnwarszawa.tvn24.pl/informacje,news,zwrot-kamienic-to-katastrofa-dla-mieszkancow,47361.html",Odolańska 7,small
Andrzej Kawalec,"Prezes grupy Fenix, zajmującej się zreprywatyzowanymi nieruchomościami. Jak twierdzi udało mu się zebrać 200 mln zł od inwestorów z Polski oraz Szwajcarii, Wielkiej Brytanii, Francji i Niemiec, których ""łączy pasja do historycznych obiektów"" znajdujących się w Polsce.

Mieszkańcy kamienic przejmowanych przez firmę Fenix podkreślają dużą skuteczność tej firmy w zakresie ""oczyszczania"" kamienic z lokatorów.","http://www.forbes.pl/przyszlosc-w-starych-murach,artykuly,160641,1,1.html
http://lokatorzy.info.pl/radoslaw-martyniak-i-andrzej-kawalec-znalezli-kolejne-ofiary/
http://metrowarszawa.gazeta.pl/metrowarszawa/1,141637,19608642,ostatni-lokatorzy-kontra-spolka-fenix-group.html
http://eko.pb.pl/3019578,81920,ruiny-przynosza-zyski","Noakowskiego 16
Poznańska 14
Poznańska 16
Jagiellońska 27
Kępna 15
Okrzei 26
Kopernika 15
Hoża 50",small
