A,B,Tytuł,Opis,Linki
Marcin Bajko,Hanna Gronkiewicz-Waltz,,Sprawowała bezpośredni nadzór nad Marcinem Bajko w latach 2011-2014. W tych latach nie było wiceprezydenta odpowiedzialnego za reprywatyzację.,
Marcin Bajko,Jakub Rudnicki,,Jakub Rudnicki był zastępcą dyr. Bajko w Biurze Gospodarki Nieruchomościami w latach 2006-2012. Tylko on posiadał pełnomocnitwa od Hanny Gronkiewicz-Waltz do wydawania decyzji. Pod okiem swojego szefa oddał sam sobie kamienicę przy ul. Kazimierzowskiej 43. ,
Marcin Bajko,Piotr Siciński,,"Przez ręce notariusza Piotra Sicińskiego przechodziło bardzo wiele czynności związanych z transakcjami reprywatyzacyjnymi - ratusz zlecał mu przygotowywanie aktów notarialnych przenoszących na reprywatyzatorów prawo uzytkowania wieczystego. W 2012 roku razem wystąpili na konferencji poświęconej umowom odszkodowawczym, które rząd PRL zawarł z państwami zachodnimi. ",goo.gl/edNv3V
Mirosław Bieniek,Tomasz Górniak,,"Panowie uczestniczyli w reaktywacji i sprzedaży przedwojennej spółki Nowe Dzielnice, która próbowała przejąć 32 hektary na Saskiej Kępie.","http://pzd.pl/uploads/5/Wyja%C5%9Bnienia%20Prokuratury.pdf
 
 http://czerwosz.pl/wsadowe/interpelacje_pp/26_ogrody_dzialkowe_waszyngtona.pdf"
Mirosław Bieniek,Marek Kolarski,,"Kolarski został zdymisjonowany przez Prezydenta Warszawy Lecha Kaczyńskiego za przekroczenie uprawnień w transakcji ze spółką Projekt S Sołowowa, w której udziały miał także Bieniek.",
Mirosław Bieniek,Andrzej Muszyński,,"Razem w zarządzie zreprywatyzowanej przedwojennej spółki Nowe Dzielnice KRS 0000373494, która przedstawiła roszczenia do terenów ogródków działkowych przy ul. Waszyngtona. Problem w tym, że prokuratura ustaliła, że akcje tej spółki będące podstawą jej reaktywacji nie mogły trafić w ręce reaktywowanej spółki Nowe Dzielnice, gdyż należały do belgijskiej spółki TSVV, której roszczenia wobec Polski wygasły na podstawie umowy indemnizacyjnej podpisanej przez rząd polski w latach 70-tych.","http://pzd.pl/uploads/5/Wyja%C5%9Bnienia%20Prokuratury.pdf
 
 http://czerwosz.pl/wsadowe/interpelacje_pp/26_ogrody_dzialkowe_waszyngtona.pdf"
Mirosław Bieniek,Robert Nowaczyk,,Wspólnicy w firmie Vision Investycje (KRS 0000460540),
Mirosław Bieniek,Marzena Kruk,,"Firma Plater sp. z o.o. należąca do Mirosława Bieńka kupiła od Marzeny Kruk kamienicę przy Mokotowskiej 63. 70% kamienicy należało do Skarbu Państwa, wojewoda mazowiecki zezwolił na zbycie własności Skarbu Państwa w związku z reprywatyzacją. ",http://bit.ly/2ck4IFX
Zbigniew B.,Emanuel Grykin,,"Hanna B. i Marek Kolarski byli wspólnikami w Topiel Development sp. z o.o. sp. k. KRS 0000370568, która została przemianowana na firmę Icon Re 1 sp. k. , a następnie sprzedana firmom Icon Re 1 sp. z o.o. KRS 0000390020 oraz Pańska sp. o.o. KRS 0000375847 - w obu udziały ma cypryjska spółka BREWIS nr rej. nr rej. ΗΕ 217433, której dyrektorem jest Emanuel Grykin",
Zbigniew B.,Marek Kolarski,,"Hanna B. i Marek Kolarski byli wspólnikami w Topiel Development sp. z o.o. sp. k. KRS 0000370568, która została przemianowana na firmę Icon Re 1 sp. k. , a następnie sprzedana firmom Icon Re 1 sp. z o.o. KRS 0000390020 oraz Pańska sp. o.o. KRS 0000375847 - w obu udziały ma cypryjska spółka BREWIS nr rej. nr rej. ΗΕ 217433, której dyrektorem jest Emanuel Grykin",
Zbigniew B.,Jerzy Kuprijaniuk,,Wspólnicy w spółce Łopuszańska DK Investment sp. z o.o. KRS 0000306934,
Zbigniew B.,Jan L.,,"Zbigniew B. oraz jego rodzina to wspólnicy Jana L. w rozlicznych interesach (np. w spółce Łopuszańska DK Investment sp. z o.o. KRS 0000306934, w firmie Biuro Usług Konsultingowych BIUKONS KRS 0000113974 oraz działając razem w spółce Auto-Universal S. A. KRS 0000236868). W latach 90., duet Jana L. i Zbigniewa B. uchodził za zaplecze biznesowo-inwestycyjne grup przestępczych: gangu pruszkowskiego i konkurencyjnego wołomińskiego. Razem aresztowani w 1997 roku za """"karuzele VATowskie"""" i pranie pieniedzy przy pomocy spółek założonych w rajach podatkowych. Mimo zagrożenia tego rodzaju przestępstw wysokimi karami (nawet do 15 lat więzienia), sprawa się rozmyła – część została umorzona, część przekazana do innych sądów. Żadne wyroki do dziś nie zapadły. Zbigniew i Hanna B. wraz z Janem L byli wśród osób, które skupiły roszczenia i zreprywatyzowały kamienicę przy ul. Drewnianej 7, która obecnie należy do należącej m. in. do Zbigniewa B. firmy Lloyds sp. z o.o. KRS 0000538258","http://archiwum.polityka.pl/art/w-sluzbie-sluzb,446607.html goo.gl/u1DK0Z"
Alina Dłużewska,Jakub Rudnicki,,"Alina Dłużewska to matka Jakuba Rudnickiego. Odsprzedała kupione od spadkobierców roszczenia do kamienicy przy ul. Kazimierzowskiej 34, zaś jej syn załatwił jej zwrot tej kamienicy. Reprezentowała też spadkobierców willi Salamandra w Zakopanem/Kościelisku, kupiła od nich roszczenia, które potem przejął od niej Rudnicki.","http://wyborcza.pl/magazyn/1,124059,20572140,uklad-warszawski-czy-reprywatyzacja-w-stolicy-zatrzesie-polska.html"
Maciej Domżała,Zbigniew B.,,"Wspólnicy w firmie Łopuszańska-DK Investment, przemianowanej na Łopuszańska Coffee (KRS 00000306934, wykreślona z KRS w lutym 2016 r.) - członek rodziny B. był udziałowcem prywatnym, a M. Domżała przez spółkę Dom Investment KRS 0000196411",
Maciej Domżała,Jacek Kotas,,"Jacek Kotas blisko współpracował z Maciejem Domżałą. Domżała poprzez rodzinę i cypryjskie spółki ma kontrolę nad grupą Radius. Kotas działał w grupie Radius od 2002. Był prezesem, zasiadał w zarządach, radach nadzorczych lub był prokurentem  spółek powiązanych z Domżałą i/lub Radiusem. Kotas wycofał się z nich wszystkich między czerwcem a sierpniem 2016 roku. ",
Maciej Domżała,Jerzy Kuprijaniuk,,"Kuprijaniuk jest współwłaścicielem wielu spółek wchodzących w skład grupy Radius. Domżała i Kuprijaniuk byli wspólnikami w spółce DK Investment sp z o. o. KRS 0000029321, która przez spółkę cypryjską Ringwood Financial LTD jest powiązana ze spółkami nieruchomościowych firmy Radius.",
Maciej Domżała,Wojciech Kuranowski,,Kuranowski zastąpił Domżałę w Radzie Nadzorczej Era 200 sp. z o.o. KRS 0000116365 - spółki matki Radiusa,
Maciej Domżała,Jan L.,,"Jan L. i Maciej Domżała byli wspólnikami w firmie Łopuszańska-DK Investment (przemianowanej na Łopuszańska Coffee KRS 00000306934, wykreslona z KRS w lutym 2016 r.). Jan L. był udziałowcem prywatnym, a M. Domżała najpierw prywatnym, a potem przez spółkę Dom Investment KRS 0000196411",
